model,sidelength,meantime,stdtime
dg,8,1.5190164e-5,4.297196013146902e-6
random,8,7.835819282051282e-7,1.2098541819164467e-7
eg,8,1.6427901666666665e-6,1.4117487892348908e-7
perlin,8,3.0983928e-5,6.192111964519098e-6
pg,8,8.72101411764706e-7,1.470602967708568e-7
mpd,8,3.886922e-6,2.7174748910032145e-7
nne,8,1.3721738666666666e-5,3.148688194183853e-6
dg,16,3.6521527999999996e-5,1.3997171030915165e-5
random,16,2.4599576e-6,8.663793961275727e-7
eg,16,3.775041777777778e-6,2.05478513746839e-6
perlin,16,5.8808091999999995e-5,2.64062675891063e-5
pg,16,2.4958060000000005e-6,2.8473180670067075e-6
mpd,16,1.4006644000000001e-5,1.3926200157132964e-5
nne,16,4.8345116e-5,2.8860050215484817e-5
dg,32,0.00017112311199999998,5.111943272820298e-5
random,32,8.084233333333331e-6,7.245610094418492e-7
eg,32,1.9225330666666665e-5,4.963495680007661e-6
perlin,32,0.000144829456,3.4736807480246995e-5
pg,32,9.108881e-6,7.16634810692717e-7
mpd,32,5.8946612e-5,9.367102449672828e-6
nne,32,0.000144715872,3.823943073513785e-5
dg,64,0.000447489412,4.7166912935677524e-5
random,64,3.1640772e-5,3.8524875320700285e-6
eg,64,7.138216800000001e-5,1.2156030103420979e-5
perlin,64,0.00043003940000000004,0.0001707086192935919
pg,64,3.0685443999999996e-5,3.1313108112178517e-6
mpd,64,0.000219524344,2.1818971232030185e-5
nne,64,0.000404793272,5.367850187728019e-5
dg,128,0.002079630988,0.00030543040473048386
random,128,0.000140593728,1.303806873364414e-5
eg,128,0.00019535151199999998,8.565145481436451e-5
perlin,128,0.0013330107560000002,0.0003211602316817697
pg,128,0.000116040108,1.1172402001461685e-5
mpd,128,0.001006248928,0.00020489778495150934
nne,128,0.00175435506,0.0003754075148329086
dg,256,0.008837963348,0.001292379623398693
random,256,0.00044036777600000004,0.00011959042442976355
eg,256,0.0007053505520000001,0.000264908922895318
perlin,256,0.006130674352,0.0010963062943538673
pg,256,0.000411017288,0.0001210748904197301
mpd,256,0.00365675598,0.000514875140677608
nne,256,0.007877737059999999,0.0013009714606453066
dg,512,0.03976278980952381,0.005867274056512924
random,512,0.0021304349160000003,0.00046501378453088884
eg,512,0.003514101188,0.0011588978093203864
perlin,512,0.026136247598958332,0.0024428333703424023
pg,512,0.002013372088,0.0004562897834652397
mpd,512,0.015849689844000002,0.0014736328759531458
nne,512,0.03035619432121212,0.0023761483278104795
dg,1024,0.126157716125,0.010317248143517083
random,1024,0.008113656468,0.0013932332007840541
eg,1024,0.013327166396,0.002323820676412403
perlin,1024,0.12275481763414635,0.0401373870266184
pg,1024,0.007614613252,0.0013842910508249126
mpd,1024,0.06401936089873417,0.003923455705360889
nne,1024,0.1058585695,0.003536121022523313
dg,2048,0.5233622083,0.01690783945828382
random,2048,0.04288956016239316,0.003825384825703776
eg,2048,0.08342121048333334,0.001898529028652147
perlin,2048,0.66712767,0.11985487664160507
pg,2048,0.03991774547619048,0.0027917276271174555
mpd,2048,0.30290723770588235,0.0097946370743267
nne,2048,0.4606276523636364,0.03404099017107441
dg,4096,2.0783650896666668,0.04165124202295205
random,4096,0.1905223928888889,0.04628967098251086
eg,4096,0.3575288729285714,0.0873356690550283
perlin,4096,2.928860272,0.10142981782701715
pg,4096,0.19816138126923077,0.06032891950127344
mpd,4096,1.47457915725,0.22243762862322555
nne,4096,1.8933501023333332,0.06403068825942489
